RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
92,15731511,Ritchie,2,0,1,2,7,2,1,0,1,0
93,15809248,Cole,0,0,0,1,10,2,1,0,1,0
94,15640635,Capon,2,0,1,1,8,2,1,1,2,0
95,15676966,Capon,2,1,1,2,4,2,0,1,1,0
96,15699461,Fiorentini,0,1,1,1,10,1,0,1,1,0
97,15738721,Graham,2,1,1,2,9,1,0,1,1,0
98,15693683,Yuille,2,2,1,1,8,2,1,1,2,0
99,15604348,Allard,1,1,1,1,8,2,0,0,1,0
100,15633059,Fanucci,0,0,1,1,9,2,0,0,0,0
101,15808582,Fu,1,0,0,1,6,1,1,1,2,0
102,15743192,Hung,1,0,0,2,6,2,0,0,2,0
103,15580146,Hung,2,0,1,1,9,1,1,0,0,0
104,15776605,Bradley,0,1,1,1,7,2,1,0,1,0
105,15804919,Dunbabin,1,1,0,2,1,1,1,1,2,1
106,15613854,Mauldon,1,1,0,2,4,2,1,1,0,1
107,15599195,Stiger,0,2,1,1,1,1,1,1,0,0
108,15812878,Parsons,2,2,0,1,2,1,0,1,0,0
109,15602312,Walkom,1,1,1,1,5,1,0,0,1,0
110,15744689,T'ang,0,2,1,1,9,1,1,0,1,1
111,15803526,Eremenko,1,2,1,1,3,1,0,1,1,0
112,15665790,Rowntree,0,2,1,1,7,2,1,0,0,0
113,15715951,Thorpe,0,0,1,2,2,1,0,0,1,0
114,15591100,Chiemela,1,1,1,1,9,1,0,1,0,0
115,15609618,Fanucci,2,2,1,1,9,2,0,1,1,1
116,15675522,Ko,1,2,0,1,9,2,1,1,1,0
117,15705512,Welch,1,2,0,1,6,1,1,0,1,0
118,15698028,Duncan,0,0,0,2,1,2,1,0,0,0
119,15661670,Chidozie,0,2,0,1,8,1,1,0,2,1
120,15600781,Wu,1,2,1,1,4,2,1,0,1,0
121,15682472,Culbreth,2,0,1,1,8,2,0,0,0,0
122,15580203,Kennedy,1,1,1,1,6,1,0,0,1,0
123,15690673,Cameron,1,0,0,1,6,2,1,0,1,0
124,15760085,Calabresi,1,2,0,2,10,1,1,1,2,0
125,15779659,Zetticci,1,0,0,1,3,1,0,0,2,0
126,15627360,Fuller,0,0,1,2,9,1,1,0,1,1
127,15671137,MacDonald,0,0,0,2,1,1,0,1,0,1
128,15782688,Piccio,1,2,1,2,0,1,1,0,0,1
129,15575492,Kennedy,2,0,0,2,7,2,1,0,2,0
130,15591607,Fernie,2,0,1,1,9,1,1,0,2,0
131,15740404,He,2,0,0,1,3,2,1,1,1,0
132,15718369,Kaodilinakachukwu,2,2,0,1,9,1,1,1,1,0
133,15677871,Cocci,1,0,1,1,9,1,1,1,0,0
134,15642004,Alekseeva,1,0,1,1,1,2,0,1,0,0
135,15712543,Chinweike,2,2,1,1,7,2,1,1,1,0
136,15584518,Arthur,1,2,0,2,5,2,1,1,0,0
137,15802381,Li,0,2,0,1,5,1,0,1,2,0
138,15610156,Ma,1,0,1,1,2,1,0,1,1,0
139,15594408,Chia,1,1,0,2,2,1,1,0,1,1
140,15640905,Vasin,0,1,0,1,1,2,0,1,0,1
141,15698932,Groves,2,2,1,2,10,1,1,0,2,0
142,15724944,Tien,1,0,1,1,7,2,1,1,2,0
143,15628145,Forwood,1,0,0,2,5,1,1,1,2,0
144,15713483,Greeves,2,1,1,2,2,1,1,0,2,1
145,15612350,Taylor,1,0,0,1,5,1,1,0,1,1
146,15800703,Madukwe,0,1,0,1,5,1,1,1,1,0
147,15705707,Bennelong,1,1,0,1,8,2,1,0,1,0
148,15754105,Olisanugo,1,0,1,1,5,1,0,0,0,0
149,15703264,Chukwufumnanya,2,0,1,2,9,1,1,0,1,0
150,15794413,Harris,0,0,1,1,0,2,0,1,0,0
151,15650237,Morgan,2,1,0,1,7,2,1,0,1,0
152,15759618,Alexeeva,0,0,0,2,9,1,1,0,2,1
153,15811589,Metcalfe,1,1,1,2,8,2,1,0,2,0
154,15689044,Humphries,0,0,1,1,2,1,1,0,1,0
155,15709368,Milne,1,0,0,2,6,2,1,1,1,0
156,15679145,Chou,1,1,1,2,7,1,1,0,0,1
157,15655007,Li,2,0,0,1,7,2,0,0,1,0
158,15623595,Clayton,1,1,0,1,2,2,1,1,1,0
159,15589975,Maclean,1,0,0,2,6,1,0,1,1,0
160,15804017,Chigolum,1,2,0,1,4,1,0,0,1,0
161,15692132,Wilkinson,1,1,0,1,6,1,0,1,1,0
162,15641122,Wei,1,0,1,1,2,2,1,0,1,0
163,15630910,Treacy,2,0,0,2,7,1,0,0,0,0
164,15680772,Hu,2,1,0,1,2,2,1,1,1,0
165,15658929,Taverner,1,1,1,1,0,1,1,0,1,1
166,15585388,Sherman,1,2,1,1,9,2,1,1,1,0
167,15724623,Taubman,1,2,0,1,7,1,1,0,2,1
168,15588537,Robinson,1,1,0,2,9,1,1,0,2,0
169,15574692,Pinto,1,1,0,1,2,2,1,0,0,1
170,15611325,Wood,1,2,1,1,9,2,0,0,1,0
171,15587562,Hawkins,0,0,0,1,4,1,1,0,2,0
172,15613172,Sun,1,2,1,1,5,2,1,0,2,0
173,15651022,Yost,0,2,1,2,10,1,1,0,0,1
174,15586310,Ting,0,0,1,1,4,1,1,0,1,0
175,15625524,Rowe,0,0,1,1,5,2,1,1,1,0
176,15755209,Fu,0,1,0,1,7,1,1,1,0,0
177,15645248,Ho,0,0,0,1,0,2,1,1,1,0
178,15790355,Okechukwu,1,2,1,1,5,2,0,0,2,0
179,15762615,Campbell,1,1,0,1,8,1,0,1,1,0
180,15625426,Ashbolt,2,2,0,2,3,1,1,0,0,1
181,15716334,Rozier,2,1,0,2,2,1,1,1,0,0
182,15789669,Hsia,0,0,1,2,2,2,1,1,0,0
183,15621075,Ogbonnaya,2,2,0,2,1,2,1,0,2,0
184,15810845,T'ang,1,0,1,2,2,2,1,1,1,0
185,15719377,Cocci,2,0,0,2,4,1,1,1,0,1
186,15654506,Chang,0,0,1,1,8,2,1,0,1,0
187,15771977,T'ao,2,0,0,1,1,1,1,0,2,0
188,15708710,Ford,0,1,0,1,0,1,0,1,1,0
189,15726676,Marshall,1,1,1,1,5,2,0,1,2,0
190,15587421,Tsai,1,2,0,1,7,2,1,0,1,0
191,15726931,Onwumelu,1,0,0,2,8,2,0,0,1,1
192,15771086,Graham,0,0,0,1,3,2,1,0,0,0
193,15756850,Golovanov,0,0,1,1,1,2,0,0,1,0
194,15702741,Potts,1,0,1,1,8,1,1,0,1,0
195,15679200,Crawford,0,1,1,1,9,2,1,0,1,0
196,15594815,Aleshire,2,0,1,1,3,1,1,1,0,0
197,15635905,Moran,1,1,0,1,6,2,1,1,0,0
198,15777892,Samsonova,2,2,1,1,3,1,1,1,2,0
199,15656176,Jenkins,0,0,1,2,10,2,1,1,0,0
200,15811127,Volkov,0,0,1,1,6,1,1,0,0,0
201,15604482,Chiemezie,2,1,1,1,2,1,1,1,0,0
202,15622911,Jude,2,0,1,2,4,1,0,1,1,0
203,15600974,He,0,1,1,2,5,1,0,1,1,1
204,15727868,Onuora,1,0,0,1,2,2,1,1,0,1
205,15627801,Ginikanwa,0,1,1,1,3,1,1,0,1,0
206,15773039,Ku,0,0,1,1,3,1,1,1,2,0
207,15755262,McDonald,1,1,0,2,3,1,0,0,2,1
208,15679531,Collins,1,0,1,1,5,1,1,1,2,0
209,15684181,Hackett,1,0,1,2,5,1,1,0,1,1
210,15612087,Dike,1,0,1,2,2,1,0,1,2,0
211,15752047,Trevisano,1,2,1,1,2,2,1,0,2,0
212,15624592,Tan,1,0,1,1,8,2,1,1,2,0
213,15573152,Glassman,1,0,0,2,9,2,0,0,1,0
214,15594917,Miller,1,0,0,1,1,1,1,1,0,0
215,15785542,Kornilova,0,2,1,1,4,2,0,0,1,0
216,15723488,Watson,1,2,1,2,7,1,0,1,2,1
217,15680920,Marchesi,1,0,1,2,7,1,1,0,1,0
218,15786308,Millar,2,1,0,1,9,2,0,0,2,0
219,15659366,Shih,2,0,1,2,1,2,1,0,0,1
220,15774854,Fuller,1,0,1,2,8,1,1,1,0,1
221,15725311,Hay,2,0,0,1,9,2,1,1,1,0
222,15787155,Yang,0,1,1,1,7,1,0,1,1,0
223,15727829,McIntyre,0,0,1,2,2,2,1,1,2,0
224,15733247,Stevenson,2,0,1,1,10,1,1,0,0,1
225,15568748,Poole,1,2,1,2,6,1,1,1,1,1
226,15699029,Bagley,1,0,1,1,4,2,1,0,2,0
227,15774393,Ch'ien,1,0,0,1,9,2,1,1,0,0
228,15676895,Cattaneo,0,2,0,1,6,3,1,1,1,1
229,15637753,O'Sullivan,2,2,1,2,2,1,1,0,1,1
230,15605461,Lucas,1,2,0,1,3,1,1,0,1,0
231,15808473,Ringrose,1,0,1,2,1,2,0,1,1,0
232,15627000,Freeman,1,0,1,1,0,2,1,0,1,0
233,15787174,Sergeyev,0,0,0,1,1,2,0,1,2,0
234,15723886,Fiore,2,2,1,0,3,2,0,1,2,0
235,15704769,Smith,1,0,0,2,5,2,0,1,1,0
236,15772896,Dumetochukwu,2,2,1,2,6,1,1,0,0,1
237,15711540,Pacheco,1,0,0,1,2,1,1,1,1,0
238,15764866,Synnot,0,2,0,2,3,3,1,0,1,1
239,15794056,Johnston,1,0,0,2,2,3,1,0,1,1
240,15795149,Stevens,1,0,1,1,2,2,0,1,2,0
241,15812009,Grant,1,1,1,1,4,2,1,0,1,0
242,15651001,Tsao,2,2,0,1,5,1,1,0,1,0
243,15813844,Barnes,1,0,1,1,8,2,0,1,1,0
244,15596175,McIntosh,1,2,1,2,6,1,1,1,0,1
245,15576269,Madison,0,1,1,1,7,2,1,0,1,0
246,15797219,Ifesinachi,1,0,0,1,10,1,1,0,1,1
247,15685500,Glazkov,2,2,1,1,7,2,1,0,1,0
248,15599792,Dimauro,0,0,0,1,1,2,1,1,2,0
249,15657566,Wieck,1,2,1,1,8,1,1,1,2,0
250,15772423,Liao,2,2,1,2,8,1,1,0,1,1
251,15628112,Hughes,2,2,0,1,5,1,0,0,1,0
252,15753754,Morrison,1,1,0,1,1,2,1,1,1,0
253,15793726,Matveyeva,1,0,0,2,0,2,0,1,2,0
254,15694717,Ku,0,2,1,1,2,1,1,1,1,0
255,15665834,Cheatham,1,1,1,1,8,1,0,0,2,0
256,15765297,Yao,2,1,1,2,0,2,0,1,0,0
257,15636684,Kirkland,2,0,1,1,10,2,1,1,2,0
258,15592979,Rose,1,2,0,1,6,2,0,0,2,0
259,15750803,Jess,1,0,0,1,6,1,1,1,0,0
260,15607178,Welch,2,2,1,1,3,1,1,1,1,0
261,15713853,Ifeajuna,2,2,1,2,9,2,1,1,1,0
262,15673481,Morton,2,1,0,2,6,1,1,0,1,0
263,15686776,Rossi,0,0,0,1,6,2,1,0,0,0
264,15673693,Reppert,1,0,0,1,0,1,0,1,1,0
265,15700696,Kang,2,1,1,1,9,1,1,1,0,0
266,15813163,Ch'iu,0,1,0,1,9,1,1,0,1,0
267,15653857,Wallis,0,0,1,1,2,2,1,1,1,0
268,15777076,Clark,1,0,1,1,7,2,1,0,0,0
269,15717398,Fielding,0,1,0,1,7,1,0,0,1,1
270,15799217,Zetticci,2,2,0,1,7,1,1,0,2,0
271,15787071,Dulhunty,1,1,1,2,9,2,0,1,2,0
272,15619955,Bevington,2,2,1,1,3,3,1,0,0,1
273,15796505,Boyle,2,2,0,1,1,2,1,1,2,0
274,15725166,Newton,1,0,1,1,8,2,1,0,0,0
275,15800116,Bowman,1,2,1,1,4,1,0,1,1,0
276,15758685,Dubinina,1,1,0,1,7,2,1,1,1,0
277,15694456,Toscani,2,0,1,2,3,1,1,1,0,1
278,15767339,Chiazagomekpere,2,0,0,2,10,2,1,0,2,0
279,15683562,Allen,1,0,1,1,6,1,0,1,2,0
280,15782210,K'ung,1,0,1,2,1,1,1,0,2,1
281,15668893,Wilsmore,2,0,1,1,8,2,1,1,0,0
282,15669169,Hargreaves,2,1,1,1,10,2,1,1,1,0
283,15643024,Huang,0,2,1,1,4,1,1,1,0,1
284,15699389,Ch'ien,2,0,1,2,7,1,1,1,0,0
285,15708608,Wallwork,2,0,0,1,8,2,0,1,2,0
286,15626144,Chu,1,0,1,1,7,2,1,0,0,0
287,15573112,Kang,1,1,1,1,5,1,1,0,2,0
288,15790678,Davidson,0,0,0,1,8,1,1,0,1,0
289,15727556,O'Donnell,2,1,0,1,5,1,1,1,2,0
290,15697307,Nnachetam,1,1,1,1,10,2,1,0,1,0
291,15652266,Chidiebele,1,2,1,2,9,1,0,1,1,0
292,15607098,Ahmed,2,1,0,2,5,2,1,0,2,0
293,15655774,Booth,0,0,1,1,7,2,1,0,1,0
294,15590241,Chuang,2,1,0,1,9,1,0,0,2,1
295,15785819,Shao,1,0,1,1,3,2,1,1,1,0
296,15723654,Tsao,2,0,1,1,2,1,1,0,1,0
297,15774510,Tien,1,0,0,1,4,1,1,1,1,0
298,15684173,Chang,1,1,0,2,7,3,1,0,2,1
299,15650068,Johnson,0,0,1,2,0,1,1,1,2,0
300,15811490,French,1,0,1,1,5,2,1,1,1,0
301,15803976,Efremov,1,0,0,1,10,2,1,0,2,0
302,15682541,Hartley,1,1,0,1,6,1,0,0,0,0
303,15695699,Calabrese,1,0,1,1,8,2,1,0,0,0
304,15624188,Chiu,1,0,0,1,6,2,1,1,2,0
305,15812191,Brennan,0,0,1,1,4,1,0,0,1,0
306,15636673,Onwuatuegwu,1,0,1,1,1,1,1,1,0,0
307,15594898,Hewitt,2,0,1,2,2,1,1,1,2,1
308,15660211,Shih,1,2,1,1,7,2,1,0,0,0
309,15773972,Balashov,1,0,1,2,4,1,1,0,1,1
310,15746726,Doyle,0,2,1,1,8,1,1,0,0,0
311,15712287,Pokrovskii,1,0,0,2,4,2,1,1,2,0
312,15702919,Collins,2,2,1,1,6,1,1,0,1,0
313,15674398,Russo,1,0,1,1,3,2,0,0,2,0
314,15797960,Skinner,2,2,0,2,0,1,1,0,2,0
315,15631868,Robertson,2,1,1,1,2,1,1,1,1,0
316,15581539,Atkinson,0,1,1,1,3,2,0,0,1,0
317,15662736,Doyle,0,0,1,2,2,1,1,0,1,1
318,15666252,Ritchie,1,1,1,2,9,2,1,1,0,0
319,15677512,McEncroe,1,1,0,1,3,1,1,0,1,0
320,15626114,Pearson,0,0,1,1,4,1,1,0,0,0
321,15810834,Gordon,0,1,0,2,2,1,1,1,1,0
322,15678910,Ts'ai,1,0,0,1,8,1,1,1,0,0
323,15694408,Lung,2,0,1,1,1,1,1,0,2,1
324,15585215,Yuan,2,0,0,1,4,2,0,0,0,0
325,15682757,Pardey,2,0,1,1,3,2,1,0,1,0
326,15736601,Tai,1,0,1,1,4,1,1,0,1,0
327,15601848,Scott,1,0,1,1,2,2,1,0,1,0
328,15736008,Hunter,1,0,0,2,9,1,1,0,1,1
329,15669064,Mazzanti,1,2,1,1,1,1,1,1,2,0
330,15624528,L?,1,2,1,1,7,2,1,1,1,0
331,15598493,Beach,1,0,1,2,7,2,0,1,1,0
332,15601274,Hsieh,1,1,0,1,1,1,1,0,0,0
333,15702669,Faulkner,1,2,1,2,2,2,0,1,1,0
334,15728669,Knowles,1,2,0,1,8,1,1,0,2,1
335,15742668,Day,1,1,0,1,6,1,1,0,0,0
336,15697441,Hsueh,0,0,1,1,7,1,1,0,1,1
337,15740476,Tsao,1,2,0,1,3,2,0,1,2,0
338,15648064,Kennedy,1,0,1,1,2,2,1,0,0,0
339,15636624,Nwabugwu,2,1,0,1,5,1,1,0,0,1
340,15807923,Young,1,2,0,1,10,1,1,0,0,1
341,15745844,Kerr,1,2,0,1,6,2,0,1,1,1
342,15786170,Tien,1,0,1,1,4,1,0,0,2,0
343,15681081,Marrero,0,1,0,2,5,2,1,1,0,0
344,15684484,White,0,0,1,1,8,2,0,0,1,0
345,15785869,Pisano,2,0,0,1,7,2,1,0,0,0
346,15763859,Brown,2,0,0,2,7,2,1,0,1,0
347,15658935,Freeman,1,2,0,1,9,2,1,0,1,0
348,15747358,Russell,1,2,1,2,3,1,1,1,0,0
349,15735203,Seleznyov,1,2,0,1,1,1,1,1,1,0
350,15576256,Yusupova,0,0,1,1,5,2,1,1,1,0
351,15659420,Foley,1,1,1,1,3,2,1,1,1,0
352,15593365,Shih,2,1,1,1,2,1,1,1,0,0
353,15777352,Ikedinachukwu,0,1,0,1,7,1,1,0,1,0
354,15812007,Power,1,1,1,1,6,2,1,1,1,0
355,15625461,Amos,1,0,0,2,1,2,1,1,1,0
356,15739438,Reed,0,0,1,1,0,2,1,0,2,0
357,15611759,Simmons,2,1,0,2,8,2,1,1,1,0
358,15661629,Ricci,0,1,1,1,9,1,1,0,2,1
359,15633950,Yen,2,0,1,2,1,1,1,1,1,0
360,15592386,Campbell,0,0,1,2,3,2,0,1,0,0
361,15803716,West,1,1,1,1,3,2,0,1,2,0
362,15696674,Robinson,1,2,0,2,2,1,0,1,0,1
363,15706365,Bianchi,1,0,0,2,9,1,1,1,2,0
364,15745088,Chen,0,2,0,1,9,2,1,0,0,0
365,15676715,Madukaego,1,0,1,2,9,2,1,1,2,0
366,15613085,Ibrahimova,1,1,0,1,3,1,1,1,2,0
367,15633537,Nolan,0,2,0,2,9,2,1,0,2,0
368,15594720,Scott,0,2,0,1,8,2,1,1,2,0
369,15684042,Blair,1,2,1,1,2,2,0,1,1,0
370,15583303,Monaldo,1,0,0,1,2,1,1,0,0,0
371,15611579,Sutherland,2,1,1,2,4,1,1,1,0,0
372,15774696,Cole,1,2,0,2,1,2,0,1,1,0
373,15694506,Briggs,1,2,1,1,0,2,1,1,2,0
374,15688074,Gregory,2,2,1,1,1,1,1,1,2,0
375,15759537,Bianchi,1,2,1,1,7,2,1,1,2,0
376,15758449,Angelo,2,0,0,1,8,1,0,1,0,0
377,15583456,Gardiner,2,2,1,2,10,3,1,1,1,1
378,15667871,Kerr,0,1,1,1,4,1,1,0,1,0
379,15677371,Ko,1,1,0,1,2,1,1,0,0,0
380,15629677,Distefano,1,1,0,1,2,3,0,0,2,1
381,15713578,Farrell,0,0,0,2,9,2,1,1,1,0
382,15591509,Milano,1,0,1,1,7,2,1,0,1,0
383,15568240,Ting,0,2,0,1,10,2,0,1,1,0
384,15622993,Boyd,1,2,1,1,8,2,1,0,1,0
385,15689294,Onyemaechi,1,2,1,2,3,1,1,0,1,0
386,15720910,Black,0,0,0,2,9,1,1,1,0,0
387,15721181,Oliver,1,1,1,2,6,2,1,0,0,0
388,15776433,Greco,2,1,1,2,2,2,1,1,2,0
389,15748936,Whitehead,1,1,0,2,2,2,0,1,2,0
390,15717225,Ikemefuna,0,0,0,1,10,2,1,0,0,0
391,15685226,Morrison,1,2,0,1,7,1,1,1,1,0
392,15785611,Onyeoruru,2,2,1,1,3,1,1,1,1,0
393,15573456,Cunningham,1,1,1,2,9,2,1,0,1,1
394,15684548,Demidov,0,1,1,1,8,2,0,0,0,1
395,15620505,Celis,1,1,0,1,0,1,1,1,1,0
396,15807432,Cheng,1,2,0,1,2,2,0,1,2,0
397,15584766,Knight,0,0,1,1,3,1,1,1,0,0
398,15612187,Morin,0,2,1,1,8,1,1,0,1,0
399,15762218,Mills,1,0,0,1,9,2,0,1,1,0
400,15646372,Outhwaite,1,0,0,2,1,1,1,0,2,1
401,15690452,Tung,1,0,1,2,1,1,1,0,1,0
402,15747795,Pai,1,2,0,1,4,1,1,1,2,0
403,15781589,Carpenter,2,1,1,2,8,2,0,1,2,0
404,15732674,Fennell,0,1,1,1,6,2,0,1,1,0
405,15642291,Fontaine,1,0,1,1,8,2,1,1,1,0
406,15692761,Pratt,2,0,1,1,9,1,1,0,0,0
407,15578045,Mitchell,0,1,0,2,9,1,0,0,2,1
408,15745354,Franklin,1,1,0,1,4,2,1,0,1,0
409,15701376,K'ung,1,2,1,1,10,2,1,1,2,0
410,15691625,Ko,0,2,0,2,3,1,1,0,1,0
411,15566594,McKenzie,1,1,1,1,10,2,0,0,1,0
412,15760431,Pino,2,0,1,1,1,2,1,1,1,0
413,15686302,Fisk,2,1,0,1,3,1,1,1,1,0
414,15801559,Chiang,1,2,0,2,9,3,1,1,2,1
415,15810432,Moseley,2,1,1,1,8,2,1,0,2,0
416,15809616,Hsiung,1,1,1,1,8,2,0,0,2,0
417,15720559,Heath,0,2,0,2,5,1,0,0,0,1
418,15695632,Dellucci,0,0,0,1,9,1,1,1,1,0
419,15659843,Li,1,0,0,2,6,2,0,0,1,0
420,15615624,De Salis,1,0,0,1,6,2,0,0,2,0
421,15810418,T'ang,2,2,0,2,3,1,1,0,1,1
422,15716186,Richardson,1,0,0,1,2,2,1,0,1,0
423,15674551,Fitch,0,2,1,1,7,1,1,0,0,1
424,15622834,Stevenson,1,0,0,1,4,1,1,0,1,0
425,15566111,Estes,1,0,1,1,9,1,1,0,0,0
426,15784597,Lattimore,1,0,1,1,9,1,1,0,1,0
427,15652883,Chung,0,2,1,1,10,2,1,0,1,0
428,15806964,Utz,1,0,1,2,0,1,1,1,0,0
429,15576313,Wei,0,2,0,1,9,1,1,0,1,0
430,15806467,Boyle,0,2,1,1,1,1,0,0,1,1
431,15597602,Nwachinemelu,1,2,1,2,3,1,1,1,1,1
432,15743040,Kuznetsova,2,2,1,2,2,2,0,1,2,0
433,15705521,Pisani,0,2,0,1,0,1,1,0,0,0
434,15595039,Manna,0,2,0,1,8,1,1,0,1,1
435,15799384,Collier,1,0,1,1,8,1,0,0,1,0
436,15581197,Ricci,2,0,0,2,3,1,0,1,1,0
437,15693737,Carr,1,2,0,1,4,2,1,0,1,0
438,15624623,Hs?,0,0,1,1,10,2,0,0,1,0
439,15783501,Findlay,2,0,0,1,2,2,1,0,1,0
440,15690134,Hughes,0,2,0,2,3,1,1,1,2,0
441,15782735,Chukwuemeka,1,0,0,1,3,1,0,0,1,0
442,15611088,Genovese,2,0,0,1,9,2,1,0,1,0
443,15672145,Swift,0,0,0,1,7,2,1,1,1,0
444,15732628,Ugoji,2,0,1,2,2,1,1,1,1,0
